pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
949,775,-0.026723884,-0.025178429,0.9993257,2.1042192
950,775,-0.027123965,-0.023938788,0.9993454,2.0732043
951,775,-0.02757713,-0.023986034,0.9993319,2.0945237
952,775,-0.02761505,-0.024932371,0.99930763,2.1322153
953,775,-0.027581302,-0.026560895,0.9992666,2.1944585
954,775,-0.02795918,-0.02653769,0.99925673,2.2092142
955,775,-0.028665219,-0.026104013,0.99924815,2.2219346
956,775,-0.029406222,-0.025565866,0.9992406,2.2330937
957,775,-0.02985201,-0.025237912,0.99923563,2.2403564
958,775,-0.031007055,-0.025234591,0.9992006,2.2911491
959,775,-0.031734124,-0.026386647,0.999148,2.3652956
960,775,-0.032018613,-0.027000094,0.9991225,2.400451
961,775,-0.03150296,-0.027067287,0.99913716,2.3803084
962,775,-0.03099153,-0.026564574,0.9991666,2.3393354
963,775,-0.030770985,-0.026741305,0.99916863,2.336489
964,775,-0.030660972,-0.026263779,0.9991848,2.313676
965,775,-0.029666483,-0.025242914,0.9992411,2.2323046
966,775,-0.028456649,-0.025129022,0.99927914,2.1756485
967,775,-0.027669402,-0.026181787,0.99927413,2.183192
968,775,-0.027075924,-0.027602209,0.99925226,2.2158484
969,775,-0.027200168,-0.027160395,0.99926096,2.2029152
970,775,-0.026364664,-0.025402773,0.9993296,2.0980716
971,775,-0.025431588,-0.025027024,0.99936324,2.0447836
972,775,-0.025763275,-0.023161307,0.99939966,1.9854423
973,775,-0.02670527,-0.022693545,0.9993857,2.008376
974,775,-0.026740968,-0.022878611,0.9993805,2.016836
975,775,-0.027250396,-0.02301719,0.99936354,2.0443048
976,775,-0.026847653,-0.023539333,0.99936235,2.0462186
977,775,-0.026548812,-0.024309358,0.9993519,2.0628889
978,775,-0.027330892,-0.025728578,0.9992953,2.1511319
979,775,-0.029388728,-0.025918815,0.99923193,2.2457664
980,775,-0.030085864,-0.025256993,0.99922824,2.2511632
981,775,-0.03056393,-0.025827076,0.9991991,2.293284
982,775,-0.030261813,-0.024929207,0.99923104,2.2470732
983,775,-0.030012792,-0.022673832,0.99929225,2.1557672
984,775,-0.030481514,-0.021632323,0.9993012,2.1421056
985,775,-0.029802496,-0.021939334,0.99931496,2.120895
986,775,-0.02928036,-0.021829017,0.9993328,2.0931218
987,775,-0.029298162,-0.021592874,0.9993375,2.085722
988,775,-0.031159773,-0.019582033,0.99932253,2.109143
989,775,-0.03144038,-0.020014064,0.99930525,2.1358836
990,775,-0.030713165,-0.02120284,0.99930334,2.138814
991,775,-0.030119281,-0.021364244,0.99931794,2.116276
992,775,-0.029542962,-0.021252004,0.99933755,2.085628
993,775,-0.02853262,-0.020937493,0.99937356,2.0281577
994,775,-0.027969273,-0.020734783,0.9993937,1.995275
995,775,-0.027907204,-0.01958055,0.9994187,1.9537446
996,775,-0.028795648,-0.017910099,0.9994249,1.9432992
997,775,-0.029613381,-0.017403414,0.99941,1.9683154
998,775,-0.02937337,-0.01875746,0.9993925,1.9972359
999,775,-0.030444616,-0.018979251,0.9993562,2.0560467
1000,775,-0.030916153,-0.019023713,0.99934095,2.0802722
1001,775,-0.030354276,-0.019405268,0.99935085,2.064596
1002,775,-0.029160129,-0.020213388,0.99937034,2.033362
1003,775,-0.0292166,-0.020760898,0.99935746,2.0540466
1004,775,-0.029206134,-0.020781806,0.9993574,2.054142
1005,775,-0.028940087,-0.02145104,0.9993509,2.064501
1006,775,-0.029656949,-0.019645356,0.9993671,2.0385528
1007,775,-0.030171549,-0.02061687,0.9993321,2.0942433
1008,775,-0.030131716,-0.020661784,0.99933237,2.0937762
1009,775,-0.030209934,-0.019590214,0.99935156,2.063458
1010,775,-0.02979687,-0.019074807,0.999374,2.027482
1011,775,-0.029345362,-0.01924993,0.9993839,2.0112972
1012,775,-0.028679758,-0.017980592,0.9994269,1.9398719
1013,775,-0.02743597,-0.017867522,0.99946386,1.8762801
1014,775,-0.027122818,-0.01846129,0.9994616,1.8802395
1015,775,-0.027687132,-0.019714493,0.99942225,1.9477252
1016,775,-0.027914027,-0.021167649,0.9993862,2.007596
1017,775,-0.02701718,-0.021764338,0.999398,1.9882004
1018,775,-0.026386647,-0.020546643,0.9994406,1.9165276
1019,775,-0.025650378,-0.020559719,0.99945956,1.8837751
1020,775,-0.02584641,-0.018502655,0.9994947,1.8215566
1021,775,-0.02639015,-0.017127639,0.999505,1.8028741
1022,775,-0.026588552,-0.018587716,0.9994737,1.8589901
1023,775,-0.02636396,-0.018516216,0.9994809,1.8462079
1024,775,-0.027000586,-0.018417886,0.9994657,1.8730439
1025,775,-0.027423052,-0.018659601,0.9994498,1.9007367
1026,775,-0.027880697,-0.01935309,0.99942386,1.9450105
1027,775,-0.027961329,-0.018778527,0.9994326,1.9301625
1028,775,-0.027648795,-0.019084828,0.9994354,1.9253911
1029,775,-0.027319683,-0.019154636,0.9994432,1.9121315
1030,775,-0.027297122,-0.018964373,0.9994474,1.9048507
1031,775,-0.026451908,-0.019557208,0.99945873,1.8852289
1032,775,-0.026251478,-0.019151108,0.99947196,1.8620406
1033,775,-0.026508925,-0.01880195,0.9994718,1.862356
1034,775,-0.026242273,-0.017288484,0.9995061,1.8008103
1035,775,-0.02545915,-0.017791295,0.9995175,1.7799327
1036,775,-0.024561869,-0.01903614,0.9995171,1.7807021
1037,775,-0.02317761,-0.021014811,0.9995105,1.7927507
1038,775,-0.022800691,-0.022899535,0.99947774,1.8518177
1039,775,-0.024433183,-0.02326894,0.9994306,1.933607
1040,775,-0.025355684,-0.0214308,0.9994487,1.9025893
1041,775,-0.025339019,-0.019186892,0.99949473,1.8214493
1042,775,-0.024973435,-0.018996777,0.99950755,1.7982006
1043,775,-0.025067983,-0.01733602,0.9995354,1.7466367
1044,775,-0.02371608,-0.017848685,0.9995594,1.7008836
1045,775,-0.023911772,-0.017544195,0.9995601,1.6995025
1046,775,-0.02364184,-0.017523386,0.9995669,1.6863241
1047,775,-0.023486882,-0.016703919,0.99958456,1.6516162
1048,775,-0.023234822,-0.016625302,0.99959177,1.6372162
1049,775,-0.0235831,-0.015666254,0.9995991,1.6224474
1050,775,-0.024419567,-0.014652098,0.99959445,1.6318285
1051,775,-0.02435003,-0.015214581,0.9995878,1.6452054
1052,775,-0.023526054,-0.015342774,0.9996055,1.6094896
1053,775,-0.023369731,-0.015779322,0.9996023,1.615921
1054,775,-0.023008164,-0.016632456,0.9995969,1.6269041
1055,775,-0.02219844,-0.015618203,0.99963164,1.5551964
1056,775,-0.021655539,-0.01472709,0.99965703,1.5006348
1057,775,-0.021643873,-0.014168184,0.9996653,1.4823974
1058,775,-0.021409879,-0.014499613,0.9996656,1.4817373
1059,775,-0.022003919,-0.015495033,0.9996378,1.5421811
