Config_ID,Light_ID,Pos_X_cm,Pos_Y_cm,Pos_Z_cm,Dir_X,Dir_Y,Dir_Z,Power_W
Config_001,1,-3.5757,0.7489,7.025,0.97876,-0.20499,-0.0,1.17
Config_001,2,-0.5521,-3.0675,7.1198,0.17706,0.98376,-0.02943,1.17
Config_001,3,2.6881,-0.5298,7.2732,-0.97784,0.19274,-0.08172,1.17
Config_001,4,-0.5261,2.0135,7.4884,0.24913,-0.9534,-0.17017,1.17
Config_002,1,-3.0134,0.0703,7.1639,0.99877,-0.02331,-0.04379,1.17
Config_002,2,-0.223,-2.9432,7.1899,0.07544,0.99577,-0.05249,1.17
Config_002,3,2.6228,0.0126,7.3162,-0.99521,-0.00479,-0.09768,1.17
Config_002,4,-0.8031,4.688,7.025,0.16885,-0.98564,-0.0,1.17
Config_003,1,-3.7963,-0.1596,7.025,0.99912,0.04201,-0.0,1.17
Config_003,2,0.1184,-3.6397,7.025,-0.0325,0.99947,-0.0,1.17
Config_003,3,2.3866,-0.6,7.3723,-0.96285,0.24209,-0.11962,1.17
Config_003,4,-0.173,2.7314,7.2743,0.06299,-0.99463,-0.08212,1.17
Config_004,1,-2.4228,0.4581,7.3707,0.97561,-0.18447,-0.11896,1.17
Config_004,2,-0.0552,-2.9567,7.1876,0.01866,0.99849,-0.05172,1.17
Config_004,3,2.0974,-0.4998,7.4671,-0.96019,0.22881,-0.16027,1.17
Config_004,4,-0.0577,2.4371,7.3799,0.0235,-0.99216,-0.12272,1.17
Config_005,1,-4.0007,-0.984,7.025,0.97106,0.23885,-0.0,1.17
Config_005,2,0.4737,-3.0148,7.1479,-0.15509,0.98715,-0.03854,1.17
Config_005,3,3.4399,0.3834,7.025,-0.99385,-0.11077,-0.0,1.17
Config_005,4,0.453,2.6935,7.2764,-0.16529,-0.98276,-0.08288,1.17
Config_006,1,-2.3201,0.2411,7.4138,0.98529,-0.1024,-0.13681,1.17
Config_006,2,0.3373,-4.5915,7.025,-0.07327,0.99731,-0.0,1.17
Config_006,3,3.7292,-0.0718,7.025,-0.99981,0.01925,-0.0,1.17
Config_006,4,-0.4129,4.0435,7.025,0.10159,-0.99483,-0.0,1.17
Config_007,1,-4.3811,-0.1658,7.025,0.99928,0.03782,-0.0,1.17
Config_007,2,0.3839,-4.4872,7.025,-0.08524,0.99636,-0.0,1.17
Config_007,3,3.8828,0.9103,7.025,-0.9736,-0.22827,-0.0,1.17
Config_007,4,0.5462,4.2955,7.025,-0.12614,-0.99201,-0.0,1.17
Config_008,1,-4.1543,0.1237,7.025,0.99956,-0.02976,-0.0,1.17
Config_008,2,-0.3519,-4.4304,7.025,0.07917,0.99686,-0.0,1.17
Config_008,3,4.3049,1.0098,7.025,-0.97358,-0.22837,-0.0,1.17
Config_008,4,-0.4165,3.0526,7.1354,0.13511,-0.99023,-0.03447,1.17
Config_009,1,-3.2456,-0.5833,7.0379,0.98422,0.17688,-0.0039,1.17
Config_009,2,-0.1599,-4.7292,7.025,0.0338,0.99943,-0.0,1.17
Config_009,3,4.6003,1.0842,7.025,-0.97333,-0.22939,-0.0,1.17
Config_009,4,0.1976,3.2113,7.0749,-0.0614,-0.998,-0.01526,1.17
Config_010,1,-4.7919,-1.1453,7.025,0.97261,0.23245,-0.0,1.17
Config_010,2,0.5724,-2.8105,7.2236,-0.19917,0.97787,-0.06406,1.17
Config_010,3,4.4136,0.5349,7.025,-0.99274,-0.12031,-0.0,1.17
Config_010,4,-0.0709,2.2245,7.4467,0.03148,-0.98802,-0.15106,1.17
