sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
5,1,1,0,IMG_0001,1/6,8.0,100,198,212,229
5,1,1,0,IMG_0002,1/8,8.0,100,181,197,213
5,1,1,0,IMG_0003,1/10,8.0,100,166,180,195
5,1,1,0,IMG_0004,1/13,8.0,100,146,161,176
5,1,1,0,IMG_0005,1/15,8.0,100,127,142,158
5,1,1,0,IMG_0006,1/20,8.0,100,107,121,135
5,1,1,0,IMG_0007,1/25,8.0,100,90,103,117
5,1,1,0,IMG_0008,1/30,8.0,100,75,87,99
5,1,1,0,IMG_0009,1/40,8.0,100,61,73,83
5,1,1,0,IMG_0010,1/50,8.0,100,48,58,67
5,1,1,5,IMG_0012,1/6,8.0,100,195,208,223
5,1,1,5,IMG_0013,1/8,8.0,100,179,192,207
5,1,1,5,IMG_0014,1/10,8.0,100,161,173,187
5,1,1,5,IMG_0015,1/13,8.0,100,142,156,171
5,1,1,5,IMG_0016,1/15,8.0,100,120,133,148
5,1,1,5,IMG_0017,1/20,8.0,100,105,117,131
5,1,1,5,IMG_0018,1/25,8.0,100,89,101,114
5,1,1,5,IMG_0019,1/30,8.0,100,73,84,95
5,1,1,5,IMG_0020,1/40,8.0,100,59,70,80
5,1,1,5,IMG_0021,1/50,8.0,100,47,57,66
5,1,1,10,IMG_0022,1/6,8.0,100,198,209,221
5,1,1,10,IMG_0023,1/8,8.0,100,181,193,206
5,1,1,10,IMG_0024,1/10,8.0,100,164,175,187
5,1,1,10,IMG_0025,1/13,8.0,100,145,158,170
5,1,1,10,IMG_0026,1/15,8.0,100,122,134,147
5,1,1,10,IMG_0027,1/20,8.0,100,108,119,131
5,1,1,10,IMG_0028,1/25,8.0,100,90,101,113
5,1,1,10,IMG_0029,1/30,8.0,100,71,82,92
5,1,1,10,IMG_0030,1/40,8.0,100,60,70,79
5,1,1,10,IMG_0031,1/50,8.0,100,47,56,64
5,1,1,15,IMG_0032,1/6,8.0,100,201,212,222
5,1,1,15,IMG_0033,1/8,8.0,100,183,195,206
5,1,1,15,IMG_0034,1/10,8.0,100,167,178,189
5,1,1,15,IMG_0035,1/13,8.0,100,145,157,169
5,1,1,15,IMG_0036,1/15,8.0,100,127,139,150
5,1,1,15,IMG_0037,1/20,8.0,100,110,122,132
5,1,1,15,IMG_0038,1/25,8.0,100,91,102,112
5,1,1,15,IMG_0039,1/30,8.0,100,78,88,98
5,1,1,15,IMG_0040,1/40,8.0,100,60,70,79
5,1,1,15,IMG_0041,1/50,8.0,100,50,59,67
