sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end,peak_width
5,2,1,0,IMG_0178.JPG,1/13,8.0,100,143,159,176,33
5,2,1,5,IMG_0188.JPG,1/13,8.0,100,143,159,175,32
5,2,1,10,IMG_0004.JPG,1/13,8.0,100,145,159,174,29
5,2,1,15,IMG_0014.JPG,1/13,8.0,100,146,160,172,26
5,2,1,20,IMG_0024.JPG,1/13,8.0,100,148,159,172,24
5,2,2,0,IMG_0034.JPG,1/13,8.0,100,131,148,166,35
5,2,2,5,IMG_0044.JPG,1/13,8.0,100,137,152,178,41
5,2,2,10,IMG_0054.JPG,1/13,8.0,100,146,158,180,34
5,2,2,15,IMG_0064.JPG,1/13,8.0,100,150,163,183,33
5,2,2,20,IMG_0075.JPG,1/13,8.0,100,150,167,180,30
5,2,3,0,IMG_0085.JPG,1/13,8.0,100,111,140,154,43
5,2,3,5,IMG_0095.JPG,1/13,8.0,100,126,142,153,27
5,2,3,10,IMG_0106.JPG,1/13,8.0,100,122,137,149,27
5,2,3,15,IMG_0116.JPG,1/13,8.0,100,123,138,150,27
5,2,3,20,IMG_0126.JPG,1/13,8.0,100,117,132,143,26
5,2,4,0,IMG_0136.JPG,1/13,8.0,100,127,142,157,30
5,2,4,5,IMG_0146.JPG,1/13,8.0,100,140,156,172,32
5,2,4,10,IMG_0156.JPG,1/13,8.0,100,140,156,171,31
5,2,4,15,IMG_0166.JPG,1/13,8.0,100,146,161,174,28
5,2,4,20,IMG_0176.JPG,1/13,8.0,100,146,159,171,25
