sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end,peak_width
5,3,1,0,IMG_0178.JPG,1/13,8.0,100,143,159,176,33
5,3,1,5,IMG_0188.JPG,1/13,8.0,100,143,159,175,32
5,3,1,10,IMG_0004.JPG,1/13,8.0,100,145,159,174,29
5,3,1,15,IMG_0014.JPG,1/13,8.0,100,146,160,172,26
5,3,1,20,IMG_0024.JPG,1/13,8.0,100,148,159,172,24
5,3,2,0,IMG_0186.JPG,1/13,8.0,100,133,150,163,30
5,3,2,5,IMG_0196.JPG,1/13,8.0,100,135,151,164,29
5,3,2,10,IMG_0206.JPG,1/13,8.0,100,134,148,159,25
5,3,2,15,IMG_0216.JPG,1/13,8.0,100,137,150,162,25
5,3,2,20,IMG_0226.JPG,1/13,8.0,100,143,155,167,24
5,3,3,0,IMG_0236.JPG,1/13,8.0,100,139,155,169,30
5,3,3,5,IMG_0248.JPG,1/13,8.0,100,139,155,169,30
5,3,3,10,IMG_0259.JPG,1/13,8.0,100,139,154,169,30
5,3,3,15,IMG_0269.JPG,1/13,8.0,100,140,155,169,29
5,3,3,20,IMG_0280.JPG,1/13,8.0,100,140,155,168,28
5,3,4,0,IMG_0290.JPG,1/13,8.0,100,112,129,139,27
5,3,4,5,IMG_0301.JPG,1/13,8.0,100,117,131,140,23
5,3,4,10,IMG_0357.JPG,1/13,8.0,100,107,123,132,25
5,3,4,15,IMG_0337.JPG,1/13,8.0,100,122,136,146,24
5,3,4,20,IMG_0322.JPG,1/13,8.0,100,106,119,130,24
