sample_number,set_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
2,2,0,IMG_0071,3/10,8.0,100,172,188,201
2,2,0,IMG_0072,1/4,8.0,100,153,171,182
2,2,0,IMG_0073,1/6,8.0,100,115,133,146
2,2,0,IMG_0074,1/8,8.0,100,97,113,125
2,2,0,IMG_0075,1/10,8.0,100,81,97,109
2,2,0,IMG_0076,1/13,8.0,100,65,78,90
2,2,0,IMG_0077,1/15,8.0,100,52,64,75
2,2,5,IMG_0079,3/10,8.0,100,169,187,206
2,2,5,IMG_0080,1/4,8.0,100,150,169,185
2,2,5,IMG_0081,1/5,8.0,100,133,152,172
2,2,5,IMG_0082,1/6,8.0,100,114,133,151
2,2,5,IMG_0083,1/8,8.0,100,95,112,129
2,2,5,IMG_0084,1/10,8.0,100,80,96,112
2,2,5,IMG_0085,1/13,8.0,100,64,77,90
2,2,5,IMG_0086,1/15,8.0,100,52,64,76
2,2,10,IMG_0087,3/10,8.0,100,175,192,209
2,2,10,IMG_0088,1/4,8.0,100,155,172,187
2,2,10,IMG_0089,1/5,8.0,100,138,155,173
2,2,10,IMG_0090,1/6,8.0,100,115,133,149
2,2,10,IMG_0091,1/8,8.0,100,99,115,130
2,2,10,IMG_0092,1/10,8.0,100,81,96,111
2,2,10,IMG_0093,1/13,8.0,100,66,79,92
2,2,10,IMG_0094,1/15,8.0,100,54,66,77
2,2,15,IMG_0095,3/10,8.0,100,174,192,209
2,2,15,IMG_0096,1/4,8.0,100,156,174,188
2,2,15,IMG_0097,1/5,8.0,100,137,156,172
2,2,15,IMG_0098,1/6,8.0,100,118,137,153
2,2,15,IMG_0099,1/8,8.0,100,101,118,132
2,2,15,IMG_0100,1/10,8.0,100,81,98,111
2,2,15,IMG_0101,1/13,8.0,100,68,82,94
2,2,15,IMG_0102,1/15,8.0,100,55,68,79
2,2,20,IMG_0103,3/10,8.0,100,178,195,211
2,2,20,IMG_0104,1/4,8.0,100,156,172,186
2,2,20,IMG_0105,1/5,8.0,100,141,158,174
2,2,20,IMG_0106,1/6,8.0,100,122,139,154
2,2,20,IMG_0107,1/8,8.0,100,101,116,130
2,2,20,IMG_0108,1/10,8.0,100,86,101,115
2,2,20,IMG_0109,1/13,8.0,100,69,81,93
2,2,20,IMG_0110,1/15,8.0,100,55,66,77
2,2,25,IMG_0113,3/10,8.0,100,181,198,214
2,2,25,IMG_0114,1/4,8.0,100,165,180,195
2,2,25,IMG_0115,1/5,8.0,100,146,164,178
2,2,25,IMG_0116,1/6,8.0,100,126,143,158
2,2,25,IMG_0117,1/8,8.0,100,107,123,138
2,2,25,IMG_0118,1/10,8.0,100,91,107,120
2,2,25,IMG_0119,1/13,8.0,100,75,89,102
2,2,25,IMG_0120,1/15,8.0,100,61,73,84
2,2,30,IMG_0122,3/10,8.0,100,185,200,215
2,2,30,IMG_0123,1/4,8.0,100,169,184,198
2,2,30,IMG_0124,1/5,8.0,100,151,167,180
2,2,30,IMG_0125,1/6,8.0,100,133,149,163
2,2,30,IMG_0126,1/8,8.0,100,111,126,140
2,2,30,IMG_0127,1/10,8.0,100,94,109,121
2,2,30,IMG_0128,1/13,8.0,100,78,91,104
2,2,30,IMG_0129,1/15,8.0,100,64,76,87
2,2,35,IMG_0130,3/10,8.0,100,190,204,219
2,2,35,IMG_0131,1/4,8.0,100,173,187,201
2,2,35,IMG_0132,1/5,8.0,100,156,171,184
2,2,35,IMG_0133,1/6,8.0,100,134,150,164
2,2,35,IMG_0134,1/8,8.0,100,115,131,145
2,2,35,IMG_0135,1/10,8.0,100,96,110,123
2,2,35,IMG_0136,1/13,8.0,100,80,93,106
2,2,35,IMG_0137,1/15,8.0,100,65,77,87
2,2,40,IMG_0138,3/10,8.0,100,191,205,219
2,2,40,IMG_0139,1/4,8.0,100,173,187,200
2,2,40,IMG_0140,1/5,8.0,100,155,170,182
2,2,40,IMG_0141,1/6,8.0,100,135,151,165
2,2,40,IMG_0142,1/8,8.0,100,119,134,147
2,2,40,IMG_0143,1/10,8.0,100,100,114,126
2,2,40,IMG_0144,1/13,8.0,100,82,95,107
2,2,40,IMG_0145,1/15,8.0,100,66,78,88
2,2,45,IMG_0146,3/10,8.0,100,192,206,220
2,2,45,IMG_0147,1/4,8.0,100,175,190,203
2,2,45,IMG_0148,1/5,8.0,100,157,172,184
2,2,45,IMG_0149,1/6,8.0,100,138,154,167
2,2,45,IMG_0150,1/8,8.0,100,119,135,148
2,2,45,IMG_0151,1/10,8.0,100,101,116,127
2,2,45,IMG_0152,1/13,8.0,100,84,98,109
2,2,45,IMG_0153,1/15,8.0,100,68,80,91
