sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
5,2,1,0,IMG_0175,1/6,8.0,100,193,207,227
5,2,1,0,IMG_0176,1/8,8.0,100,179,194,213
5,2,1,0,IMG_0177,1/10,8.0,100,163,177,194
5,2,1,0,IMG_0178,1/13,8.0,100,143,159,176
5,2,1,0,IMG_0179,1/15,8.0,100,123,138,156
5,2,1,0,IMG_0180,1/20,8.0,100,106,120,137
5,2,1,0,IMG_0181,1/25,8.0,100,89,103,119
5,2,1,0,IMG_0182,1/30,8.0,100,75,88,102
5,2,1,0,IMG_0183,1/40,8.0,100,59,71,82
5,2,1,0,IMG_0184,1/50,8.0,100,47,58,68
5,2,1,5,IMG_0185,1/6,8.0,100,195,210,227
5,2,1,5,IMG_0186,1/8,8.0,100,178,194,210
5,2,1,5,IMG_0187,1/10,8.0,100,161,176,190
5,2,1,5,IMG_0188,1/13,8.0,100,143,159,175
5,2,1,5,IMG_0189,1/15,8.0,100,124,141,156
5,2,1,5,IMG_0190,1/20,8.0,100,105,120,134
5,2,1,5,IMG_0191,1/25,8.0,100,89,103,117
5,2,1,5,IMG_0192,1/30,8.0,100,72,85,97
5,2,1,5,IMG_0193,1/40,8.0,100,60,72,83
5,2,1,5,IMG_0194,1/50,8.0,100,47,58,67
5,2,1,10,IMG_0001,1/6,8.0,100,196,209,225
5,2,1,10,IMG_0002,1/8,8.0,100,182,196,211
5,2,1,10,IMG_0003,1/10,8.0,100,164,177,191
5,2,1,10,IMG_0004,1/13,8.0,100,145,159,174
5,2,1,10,IMG_0005,1/15,8.0,100,124,139,154
5,2,1,10,IMG_0006,1/20,8.0,100,105,118,132
5,2,1,10,IMG_0007,1/25,8.0,100,89,102,115
5,2,1,10,IMG_0008,1/30,8.0,100,75,87,99
5,2,1,10,IMG_0009,1/40,8.0,100,60,71,82
5,2,1,10,IMG_0010,1/50,8.0,100,48,58,68
5,2,1,15,IMG_0011,1/6,8.0,100,199,211,223
5,2,1,15,IMG_0012,1/8,8.0,100,183,196,207
5,2,1,15,IMG_0013,1/10,8.0,100,165,177,188
5,2,1,15,IMG_0014,1/13,8.0,100,146,160,172
5,2,1,15,IMG_0015,1/15,8.0,100,127,141,153
5,2,1,15,IMG_0016,1/20,8.0,100,108,120,132
5,2,1,15,IMG_0017,1/25,8.0,100,92,104,115
5,2,1,15,IMG_0018,1/30,8.0,100,75,87,97
5,2,1,15,IMG_0019,1/40,8.0,100,62,72,82
5,2,1,15,IMG_0020,1/50,8.0,100,49,59,68
5,2,1,20,IMG_0021,1/6,8.0,100,200,211,223
5,2,1,20,IMG_0022,1/8,8.0,100,182,193,206
5,2,1,20,IMG_0023,1/10,8.0,100,166,177,188
5,2,1,20,IMG_0024,1/13,8.0,100,148,159,172
5,2,1,20,IMG_0025,1/15,8.0,100,130,141,154
5,2,1,20,IMG_0026,1/20,8.0,100,109,121,132
5,2,1,20,IMG_0027,1/25,8.0,100,92,103,114
5,2,1,20,IMG_0028,1/30,8.0,100,76,86,97
5,2,1,20,IMG_0029,1/40,8.0,100,62,72,82
5,2,1,20,IMG_0030,1/50,8.0,100,50,59,68
5,2,2,0,IMG_0031,1/6,8.0,100,187,201,219
5,2,2,0,IMG_0032,1/8,8.0,100,169,184,202
5,2,2,0,IMG_0033,1/10,8.0,100,152,169,184
5,2,2,0,IMG_0034,1/13,8.0,100,131,148,166
5,2,2,0,IMG_0035,1/15,8.0,100,112,129,146
5,2,2,0,IMG_0036,1/20,8.0,100,95,111,126
5,2,2,0,IMG_0037,1/25,8.0,100,79,93,108
5,2,2,0,IMG_0038,1/30,8.0,100,65,78,91
5,2,2,0,IMG_0039,1/40,8.0,100,53,66,77
5,2,2,0,IMG_0040,1/50,8.0,100,41,51,61
5,2,2,5,IMG_0041,1/6,8.0,100,193,206,230
5,2,2,5,IMG_0042,1/8,8.0,100,176,189,215
5,2,2,5,IMG_0043,1/10,8.0,100,158,171,194
5,2,2,5,IMG_0044,1/13,8.0,100,137,152,178
5,2,2,5,IMG_0045,1/15,8.0,100,121,135,160
5,2,2,5,IMG_0046,1/20,8.0,100,100,114,136
5,2,2,5,IMG_0047,1/25,8.0,100,84,97,118
5,2,2,5,IMG_0048,1/30,8.0,100,69,82,100
5,2,2,5,IMG_0049,1/40,8.0,100,56,68,82
5,2,2,5,IMG_0050,1/50,8.0,100,46,57,69
5,2,2,10,IMG_0051,1/6,8.0,100,200,211,231
5,2,2,10,IMG_0052,1/8,8.0,100,182,195,217
5,2,2,10,IMG_0053,1/10,8.0,100,165,177,198
5,2,2,10,IMG_0054,1/13,8.0,100,146,158,180
5,2,2,10,IMG_0055,1/15,8.0,100,126,138,162
5,2,2,10,IMG_0056,1/20,8.0,100,110,121,143
5,2,2,10,IMG_0057,1/25,8.0,100,92,103,123
5,2,2,10,IMG_0058,1/30,8.0,100,75,87,105
5,2,2,10,IMG_0059,1/40,8.0,100,61,74,87
5,2,2,10,IMG_0060,1/50,8.0,100,50,61,73
5,2,2,15,IMG_0061,1/6,8.0,100,200,210,230
5,2,2,15,IMG_0062,1/8,8.0,100,183,195,217
5,2,2,15,IMG_0063,1/10,8.0,100,166,177,198
5,2,2,15,IMG_0064,1/13,8.0,100,150,163,183
5,2,2,15,IMG_0065,1/15,8.0,100,130,142,165
5,2,2,15,IMG_0066,1/20,8.0,100,111,122,144
5,2,2,15,IMG_0067,1/25,8.0,100,91,103,122
5,2,2,15,IMG_0068,1/30,8.0,100,75,87,104
5,2,2,15,IMG_0069,1/40,8.0,100,62,75,88
5,2,2,15,IMG_0070,1/50,8.0,100,50,61,73
5,2,2,20,IMG_0072,1/6,8.0,100,203,214,231
5,2,2,20,IMG_0073,1/8,8.0,100,187,199,218
5,2,2,20,IMG_0074,1/10,8.0,100,169,181,200
5,2,2,20,IMG_0075,1/13,8.0,100,150,167,180
5,2,2,20,IMG_0076,1/15,8.0,100,132,149,165
5,2,2,20,IMG_0077,1/20,8.0,100,111,122,142
5,2,2,20,IMG_0078,1/25,8.0,100,92,108,121
5,2,2,20,IMG_0079,1/30,8.0,100,77,91,104
5,2,2,20,IMG_0080,1/40,8.0,100,63,77,88
