pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
857,657,0.3674576,-0.1084157,0.9236996,51.95949
858,657,0.36676425,-0.10764767,0.92406493,51.911232
859,657,0.3673335,-0.108652085,0.9237212,51.953617
860,657,0.36657867,-0.10973234,0.92389333,51.915295
861,657,0.3652085,-0.110306874,0.9243674,51.835495
862,657,0.3649614,-0.11009599,0.92449015,51.818745
863,657,0.36553422,-0.10978428,0.9243009,51.851562
864,657,0.36559087,-0.10907347,0.92436266,51.84973
865,657,0.36527935,-0.10833339,0.9245728,51.825115
866,657,0.36524466,-0.10719337,0.9247194,51.814598
867,657,0.36547878,-0.1064058,0.92471784,51.823227
868,657,0.3653308,-0.10576792,0.9248495,51.809525
869,657,0.3649553,-0.10638175,0.9249273,51.790928
870,657,0.3642662,-0.10693128,0.9251356,51.752636
871,657,0.36382258,-0.1071199,0.92528826,51.726807
872,657,0.3618228,-0.10717374,0.92606586,51.604584
873,657,0.35878676,-0.10768785,0.9271868,51.42241
874,657,0.35692316,-0.107709385,0.9279033,51.308544
875,657,0.3562708,-0.107958436,0.928125,51.270496
876,657,0.35622832,-0.1085311,0.9280746,51.27215
877,657,0.35590932,-0.1088107,0.9281642,51.25473
878,657,0.35525137,-0.1080684,0.92850286,51.209
879,657,0.35451296,-0.10711344,0.9288957,51.15683
880,657,0.35371298,-0.1069735,0.92921674,51.10694
881,657,0.35283652,-0.107271045,0.92951566,51.055603
882,657,0.35213602,-0.10708978,0.9298021,51.011513
883,657,0.3508366,-0.10688907,0.93031627,50.930756
884,657,0.34976813,-0.107624985,0.9306337,50.871014
885,657,0.34901264,-0.10840262,0.930827,50.830734
886,657,0.34830117,-0.1084842,0.93108404,50.787983
887,657,0.3472993,-0.10822998,0.9314878,50.725056
888,657,0.34640777,-0.10777307,0.93187267,50.667374
889,657,0.34525365,-0.10755161,0.9323264,50.595478
890,657,0.3442083,-0.10706311,0.93276906,50.528263
891,657,0.34247404,-0.10706803,0.93340665,50.422836
892,657,0.34054857,-0.106906675,0.9341294,50.30464
893,657,0.33905557,-0.10626143,0.93474585,50.209232
894,657,0.33734035,-0.1062986,0.935362,50.105423
895,657,0.33658564,-0.10610226,0.9356562,50.058197
896,657,0.33627462,-0.106134124,0.93576443,50.03957
897,657,0.33626893,-0.10594937,0.9357873,50.037872
898,657,0.3356566,-0.10618956,0.9359799,50.00251
899,657,0.33413917,-0.10621695,0.9365196,49.910748
900,657,0.3324344,-0.10671179,0.93706995,49.811142
901,657,0.33040026,-0.107289046,0.9377232,49.69232
902,657,0.32882157,-0.10712302,0.93829685,49.59562
903,657,0.32798302,-0.10633149,0.9386803,49.539062
904,657,0.32667917,-0.10594063,0.93917906,49.45739
905,657,0.32448304,-0.10667544,0.939857,49.330215
906,657,0.3233363,-0.10680084,0.9402378,49.261955
907,657,0.32187328,-0.106978804,0.9407195,49.17504
908,657,0.32012737,-0.107456155,0.94126064,49.07338
909,657,0.318206,-0.10810188,0.9418381,48.962513
910,657,0.3167855,-0.108141445,0.94231224,48.87731
911,657,0.3142313,-0.10744428,0.94324666,48.718433
912,657,0.31244197,-0.106711216,0.9439241,48.60539
913,657,0.3112681,-0.10721037,0.9442553,48.53862
914,657,0.31081283,-0.10770542,0.94434893,48.51502
915,657,0.30990618,-0.10800145,0.94461304,48.462837
916,657,0.3084576,-0.10796338,0.9450914,48.37562
917,657,0.3067145,-0.10756221,0.9457043,48.268047
918,657,0.30480912,-0.10731526,0.94634813,48.15199
919,657,0.30250108,-0.107334256,0.9470863,48.01391
920,657,0.3003403,-0.10747094,0.94775826,47.885635
921,657,0.29851648,-0.10762803,0.94831645,47.777782
922,657,0.29693225,-0.107694626,0.9488061,47.683605
923,657,0.2948715,-0.10820773,0.9493903,47.564457
924,657,0.29248095,-0.10868699,0.95007473,47.4255
925,657,0.29081932,-0.10842554,0.95061463,47.324387
926,657,0.28922743,-0.10763308,0.9511901,47.22344
927,657,0.28803682,-0.10736533,0.9515816,47.150463
928,657,0.28618908,-0.10791031,0.9520773,47.04462
929,657,0.28446707,-0.10869071,0.95250446,46.948185
930,657,0.28315744,-0.1089798,0.9528616,46.872543
931,657,0.28115973,-0.10788858,0.9535771,46.74535
932,657,0.27919984,-0.10730147,0.954219,46.624405
933,657,0.27694672,-0.10770633,0.9548298,46.493763
934,657,0.27507734,-0.108944,0.9552297,46.392487
935,657,0.27316946,-0.108626135,0.95581317,46.2769
936,657,0.27098745,-0.10776952,0.9565309,46.14098
937,657,0.2683879,-0.107509196,0.9572929,45.985046
938,657,0.2662038,-0.10801574,0.9578455,45.859783
939,657,0.26456666,-0.107960835,0.95830524,45.762566
940,657,0.26236424,-0.107464746,0.9589663,45.628567
941,657,0.26094714,-0.107638225,0.95933336,45.546234
942,657,0.25921965,-0.1080705,0.959753,45.447655
943,657,0.2579022,-0.10821054,0.9600921,45.37102
944,657,0.2562568,-0.10750208,0.9606122,45.26844
945,657,0.2542946,-0.106523655,0.9612423,45.145176
946,657,0.25186545,-0.10621537,0.96191585,44.99967
947,657,0.24963959,-0.10680303,0.96243095,44.873207
948,657,0.24718364,-0.107532874,0.9629833,44.73447
949,657,0.24527162,-0.10782747,0.9634392,44.624397
950,657,0.24301891,-0.107670635,0.9640274,44.490818
951,657,0.24134263,-0.10797715,0.9644141,44.394833
952,657,0.23937234,-0.10837594,0.9648604,44.282387
953,657,0.23764616,-0.10866508,0.96525455,44.18346
954,657,0.23562495,-0.10849352,0.9657691,44.063614
955,657,0.2340169,-0.108120956,0.9662018,43.96642
956,657,0.23198086,-0.107908435,0.9667164,43.84549
957,657,0.2297338,-0.10841803,0.9671959,43.718063
958,657,0.2269602,-0.10856436,0.9678342,43.55703
959,657,0.22451308,-0.10858748,0.96840215,43.414207
960,657,0.22150254,-0.10846321,0.96910906,43.23739
961,657,0.21905515,-0.108617686,0.96964794,43.095818
962,657,0.21693724,-0.10930751,0.97004646,42.977936
963,657,0.21505795,-0.11024498,0.9703588,42.876137
964,657,0.21285647,-0.110618226,0.97080165,42.751003
965,657,0.21069252,-0.10963011,0.9713856,42.61682
966,657,0.20874387,-0.10839978,0.97194415,42.49329
967,657,0.20668796,-0.10829268,0.97239536,42.372818
968,657,0.20441504,-0.10858409,0.9728432,42.243076
969,657,0.2024415,-0.109767616,0.9731231,42.138214
970,657,0.20042738,-0.110371545,0.9734715,42.026318
971,657,0.19763109,-0.11046935,0.9740321,41.864864
972,657,0.19503412,-0.110409945,0.97456217,41.713753
